symMono
AlgIdx, AlgStub, Piece, n_P, n_Q, P_est, R_est, F1_est, P_occ(c=.75), R_occ(c=.75), F_1occ(c=.75), P_3, R_3, TLF_1, runtime, FRT, FFTP_est, FFP, P_occ(c=.5), R_occ(c=.5), F_1occ(c=.5), P, R, F_1
5, NF1_13, piece4, 8, 26, 0.60168, 0.78135, 0.67985, 0.69316, 0.49847, 0.57991, 0.40094, 0.59819, 0.48010, 20.00000, 0.00000, 0.42853, 0.44439, 0.60137, 0.44901, 0.51414, 0.03846, 0.12500, 0.05882
5, NF1_13, piece5, 13, 14, 0.50485, 0.42321, 0.46044, 0.96917, 0.96917, 0.96917, 0.44844, 0.38113, 0.41206, 78.00000, 0.00000, 0.19058, 0.42146, 0.68101, 0.43945, 0.53419, 0.00000, 0.00000, 0.00000
6, DM10_13, piece1, 5, 35, 0.42306, 0.64244, 0.51017, 0.50682, 0.71727, 0.59396, 0.29463, 0.53040, 0.37883, 87.00000, 0.00000, 0.43580, 0.61663, 0.45252, 0.74894, 0.56416, 0.00000, 0.00000, 0.00000
6, DM10_13, piece2, 5, 37, 0.51393, 0.68322, 0.58661, 0.61953, 0.86837, 0.72314, 0.44569, 0.55386, 0.49392, 249.00000, 0.00000, 0.52328, 0.47409, 0.52695, 0.87176, 0.65685, 0.00000, 0.00000, 0.00000
6, DM10_13, piece3, 10, 12, 0.64619, 0.61625, 0.63087, 0.72152, 0.45164, 0.55554, 0.52716, 0.47019, 0.49705, 6.00000, 0.00000, 0.38448, 0.54820, 0.53805, 0.52928, 0.53363, 0.08333, 0.10000, 0.09091
6, DM10_13, piece4, 8, 20, 0.39653, 0.67150, 0.49861, 0.39764, 0.80440, 0.53220, 0.26906, 0.39034, 0.31855, 4.00000, 0.00000, 0.67150, 0.50483, 0.30889, 0.71314, 0.43107, 0.05000, 0.12500, 0.07143
6, DM10_13, piece5, 13, 54, 0.63368, 0.43072, 0.51285, 0.58787, 0.91606, 0.71616, 0.61043, 0.38861, 0.47489, 461.00000, 0.00000, 0.30412, 0.80286, 0.53341, 0.86942, 0.66118, 0.00000, 0.00000, 0.00000

audMono
AlgIdx, AlgStub, Piece, n_P, n_Q, P_est, R_est, F1_est, P_occ(c=.75), R_occ(c=.75), F_1occ(c=.75), P_3, R_3, TLF_1, runtime, FRT, FFTP_est, FFP, P_occ(c=.5), R_occ(c=.5), F_1occ(c=.5), P, R, F_1
1, NF1, piece1, 5, 5, 0.71018, 0.43348, 0.53836, 0.37517, 0.12374, 0.18610, 0.15022, 0.11379, 0.12949, 536.00000, 0.00000, 0.43348, 0.15022, 0.34388, 0.12989, 0.18856, 0.00000, 0.00000, 0.00000
1, NF1, piece2, 5, 12, 0.45869, 0.60157, 0.52050, 0.42322, 0.42322, 0.42322, 0.16305, 0.24156, 0.19469, 71.00000, 0.00000, 0.35091, 0.17147, 0.45660, 0.18717, 0.26550, 0.00000, 0.00000, 0.00000
1, NF1, piece3, 10, 17, 0.67605, 0.56367, 0.61477, 0.58986, 0.26784, 0.36840, 0.32538, 0.32465, 0.32501, 77.00000, 0.00000, 0.42889, 0.37561, 0.42842, 0.25962, 0.32332, 0.00000, 0.00000, 0.00000
1, NF1, piece4, 8, 13, 0.69459, 0.72344, 0.70872, 0.76984, 0.32823, 0.46024, 0.49196, 0.51906, 0.50515, 238.00000, 0.00000, 0.33036, 0.39766, 0.66396, 0.37853, 0.48217, 0.07692, 0.12500, 0.09524
1, NF1, piece5, 13, 23, 0.38655, 0.35214, 0.36855, 0.00000, 0.00000, 0.00000, 0.19610, 0.20286, 0.19942, 1598.00000, 0.00000, 0.25834, 0.21771, 0.36527, 0.14747, 0.21011, 0.00000, 0.00000, 0.00000
2, NF3_13, piece1, 5, 41, 0.50597, 0.58599, 0.54305, 0.38374, 0.11905, 0.18173, 0.12387, 0.21894, 0.15822, 135.00000, 0.00000, 0.42823, 0.15364, 0.36245, 0.12193, 0.18248, 0.00000, 0.00000, 0.00000
2, NF3_13, piece2, 5, 19, 0.34361, 0.42181, 0.37872, 0.40625, 0.10938, 0.17235, 0.09685, 0.11037, 0.10317, 21.00000, 0.00000, 0.27400, 0.10364, 0.39178, 0.08759, 0.14318, 0.00000, 0.00000, 0.00000
2, NF3_13, piece3, 10, 7, 0.63745, 0.43700, 0.51853, 0.48214, 0.16667, 0.24771, 0.27493, 0.22009, 0.24447, 7.00000, 0.00000, 0.31405, 0.26308, 0.43961, 0.13791, 0.20995, 0.00000, 0.00000, 0.00000
2, NF3_13, piece4, 8, 10, 0.52339, 0.37485, 0.43684, 0.76667, 0.16667, 0.27381, 0.57895, 0.38620, 0.46333, 20.00000, 0.00000, 0.23810, 0.59369, 0.60127, 0.36035, 0.45063, 0.00000, 0.00000, 0.00000
2, NF3_13, piece5, 13, 1, 0.43243, 0.10177, 0.16476, 0.00000, 0.00000, 0.00000, 0.14815, 0.04507, 0.06912, 122.00000, 0.00000, 0.10177, 0.14815, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000

symPoly
AlgIdx, AlgStub, Piece, n_P, n_Q, P_est, R_est, F1_est, P_occ(c=.75), R_occ(c=.75), F_1occ(c=.75), P_3, R_3, TLF_1, runtime, FRT, FFTP_est, FFP, P_occ(c=.5), R_occ(c=.5), F_1occ(c=.5), P, R, F_1
1, NF1, piece1, 5, 15, 0.30802, 0.31912, 0.31347, 0.20505, 0.07456, 0.10936, 0.07694, 0.09982, 0.08690, 61.00000, 0.00000, 0.31198, 0.16044, 0.21355, 0.12011, 0.15375, 0.00000, 0.00000, 0.00000
1, NF1, piece2, 5, 48, 0.16580, 0.40933, 0.23601, 0.00000, 0.00000, 0.00000, 0.09273, 0.33288, 0.14505, 1660.00000, 0.00000, 0.16940, 0.26506, 0.51958, 0.12976, 0.20766, 0.00000, 0.00000, 0.00000
1, NF1, piece3, 10, 11, 0.29069, 0.23992, 0.26287, 0.00000, 0.00000, 0.00000, 0.26265, 0.22376, 0.24165, 62.00000, 0.00000, 0.19993, 0.28860, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1, NF1, piece4, 5, 26, 0.12622, 0.44446, 0.19661, 0.33333, 0.08333, 0.13333, 0.06223, 0.20703, 0.09569, 11.00000, 0.00000, 0.37780, 0.26245, 0.33333, 0.08333, 0.13333, 0.03846, 0.20000, 0.06452
1, NF1, piece5, 13, 13, 0.28733, 0.24497, 0.26446, 0.00000, 0.00000, 0.00000, 0.24809, 0.23033, 0.23888, 356.00000, 0.00000, 0.21322, 0.30680, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF2_13, piece1, 5, 5, 0.24008, 0.22189, 0.23063, 0.00000, 0.00000, 0.00000, 0.14303, 0.14172, 0.14237, 15.00000, 0.00000, 0.22189, 0.14303, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF2_13, piece2, 5, 27, 0.26373, 0.41623, 0.32288, 0.77770, 0.77770, 0.77770, 0.07732, 0.24530, 0.11758, 1221.00000, 0.00000, 0.31381, 0.22893, 0.77770, 0.77770, 0.77770, 0.00000, 0.00000, 0.00000
2, NF2_13, piece3, 10, 20, 0.69534, 0.58409, 0.63488, 0.70282, 0.32009, 0.43986, 0.47322, 0.43868, 0.45530, 34.00000, 0.00000, 0.35534, 0.47254, 0.60250, 0.37278, 0.46059, 0.00000, 0.00000, 0.00000
2, NF2_13, piece4, 5, 2, 0.66667, 0.27193, 0.38629, 0.88494, 0.88494, 0.88494, 0.60895, 0.23971, 0.34401, 3.00000, 0.00000, 0.27193, 0.60895, 0.88494, 0.88494, 0.88494, 0.00000, 0.00000, 0.00000
2, NF2_13, piece5, 13, 18, 0.56423, 0.33359, 0.41928, 0.68953, 0.39309, 0.50073, 0.41727, 0.34454, 0.37744, 153.00000, 0.00000, 0.24486, 0.54939, 0.60103, 0.48796, 0.53863, 0.00000, 0.00000, 0.00000
3, DM10_13, piece1, 5, 37, 0.39459, 0.53489, 0.45415, 0.40601, 0.43943, 0.42206, 0.28050, 0.42184, 0.33695, 53.00000, 0.00000, 0.49847, 0.48485, 0.38353, 0.51526, 0.43974, 0.00000, 0.00000, 0.00000
3, DM10_13, piece2, 5, 67, 0.60118, 0.69306, 0.64386, 0.56534, 0.95440, 0.71007, 0.52715, 0.59549, 0.55924, 1287.00000, 0.00000, 0.25614, 0.30325, 0.51123, 0.92467, 0.65843, 0.00000, 0.00000, 0.00000
3, DM10_13, piece3, 10, 20, 0.64780, 0.54582, 0.59245, 0.58607, 0.82517, 0.68537, 0.62214, 0.46120, 0.52971, 89.00000, 0.00000, 0.32131, 0.71997, 0.51407, 0.78154, 0.62020, 0.00000, 0.00000, 0.00000
3, DM10_13, piece4, 5, 21, 0.50318, 0.50779, 0.50547, 0.47169, 0.94118, 0.62843, 0.36828, 0.32553, 0.34559, 3.00000, 0.00000, 0.41458, 0.55647, 0.30573, 0.72559, 0.43019, 0.00000, 0.00000, 0.00000
3, DM10_13, piece5, 13, 69, 0.66244, 0.50932, 0.57587, 0.62901, 0.94719, 0.75598, 0.62552, 0.44338, 0.51893, 3108.00000, 0.00000, 0.20458, 0.64348, 0.56383, 0.88130, 0.68769, 0.00000, 0.00000, 0.00000

audPoly
AlgIdx, AlgStub, Piece, n_P, n_Q, P_est, R_est, F1_est, P_occ(c=.75), R_occ(c=.75), F_1occ(c=.75), P_3, R_3, TLF_1, runtime, FRT, FFTP_est, FFP, P_occ(c=.5), R_occ(c=.5), F_1occ(c=.5), P, R, F_1
1, NF1, piece1, 5, 5, 0.25231, 0.23839, 0.24515, 0.19697, 0.07163, 0.10505, 0.04289, 0.05200, 0.04701, 118.00000, 0.00000, 0.23839, 0.04289, 0.19697, 0.07163, 0.10505, 0.00000, 0.00000, 0.00000
1, NF1, piece2, 5, 12, 0.35712, 0.38746, 0.37168, 0.00000, 0.00000, 0.00000, 0.11347, 0.15921, 0.13250, 80.00000, 0.00000, 0.29301, 0.11504, 0.50417, 0.07955, 0.13741, 0.00000, 0.00000, 0.00000
1, NF1, piece3, 10, 17, 0.29071, 0.26903, 0.27945, 0.00000, 0.00000, 0.00000, 0.15676, 0.17642, 0.16601, 122.00000, 0.00000, 0.20812, 0.18986, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1, NF1, piece4, 5, 13, 0.06259, 0.21216, 0.09667, 0.00000, 0.00000, 0.00000, 0.06609, 0.20817, 0.10033, 31.00000, 0.00000, 0.21216, 0.17184, 0.50000, 0.25000, 0.33333, 0.07692, 0.20000, 0.11111
1, NF1, piece5, 13, 23, 0.32426, 0.28790, 0.30500, 0.00000, 0.00000, 0.00000, 0.14167, 0.15431, 0.14772, 1096.00000, 0.00000, 0.22517, 0.15786, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF4_13, piece1, 5, 1, 0.32258, 0.12605, 0.18127, 0.00000, 0.00000, 0.00000, 0.10000, 0.03166, 0.04810, 7.00000, 0.00000, 0.12605, 0.10000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF4_13, piece2, 5, 105, 0.24109, 0.30385, 0.26885, 0.33333, 0.05000, 0.08696, 0.05803, 0.10293, 0.07422, 29.00000, 0.00000, 0.22249, 0.09007, 0.33734, 0.08191, 0.13182, 0.00000, 0.00000, 0.00000
2, NF4_13, piece3, 10, 23, 0.27722, 0.26152, 0.26914, 0.00000, 0.00000, 0.00000, 0.14825, 0.17192, 0.15921, 10.00000, 0.00000, 0.20343, 0.21771, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF4_13, piece4, 5, 1, 0.29412, 0.11216, 0.16239, 0.00000, 0.00000, 0.00000, 0.44156, 0.12676, 0.19697, 2.00000, 0.00000, 0.11216, 0.44156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2, NF4_13, piece5, 13, 24, 0.28847, 0.30412, 0.29609, 0.00000, 0.00000, 0.00000, 0.12989, 0.15877, 0.14288, 135.00000, 0.00000, 0.22693, 0.16323, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
